name,type,state,latitude,longitude,source,source_url,notes
Niagara River - Niagara Falls,river,NY,43.081,-79.064,Natural Earth / USGS context,https://www.usgs.gov/national-hydrography/national-hydrography-dataset,Representative point on major river system.
Lake Michigan - Chicago,lake,IL,41.878,-87.6,Natural Earth / USGS context,https://www.naturalearthdata.com/,Representative point on Great Lake shoreline.
Lake Michigan - Milwaukee,lake,WI,43.039,-87.906,Natural Earth / USGS context,https://www.naturalearthdata.com/,Representative point on Great Lake shoreline.
Lake Erie - Cleveland,lake,OH,41.499,-81.694,Natural Earth / USGS context,https://www.naturalearthdata.com/,Representative point on Great Lake shoreline.
Lake Erie - Buffalo,lake,NY,42.886,-78.878,Natural Earth / USGS context,https://www.naturalearthdata.com/,Representative point on Great Lake shoreline.
Lake Ontario - Rochester,lake,NY,43.156,-77.608,Natural Earth / USGS context,https://www.naturalearthdata.com/,Representative point on Great Lake shoreline.
Lake Huron - Saginaw Bay,lake,MI,43.8,-83.85,Natural Earth / USGS context,https://www.naturalearthdata.com/,Representative point on Great Lake shoreline.
Lake Superior - Duluth,lake,MN,46.786,-92.1,Natural Earth / USGS context,https://www.naturalearthdata.com/,Representative point on Great Lake shoreline.
Great Salt Lake,lake,UT,41.169,-112.583,Natural Earth / USGS context,https://www.naturalearthdata.com/,Representative point on major lake.
Lake Mead,reservoir,NV,36.245,-114.396,Natural Earth / USGS context,https://www.naturalearthdata.com/,Representative point on major reservoir.
Lake Powell,reservoir,AZ,36.938,-111.484,Natural Earth / USGS context,https://www.naturalearthdata.com/,Representative point on major reservoir.
Lake Lanier,reservoir,GA,34.204,-83.969,Natural Earth / USGS context,https://www.naturalearthdata.com/,Representative point on major reservoir.
Lake Norman,reservoir,NC,35.489,-80.939,Natural Earth / USGS context,https://www.naturalearthdata.com/,Representative point on major reservoir.
Kerr Reservoir,reservoir,VA,36.599,-78.297,Natural Earth / USGS context,https://www.naturalearthdata.com/,Representative point on major reservoir.
Lake Texoma,reservoir,TX,33.824,-96.571,Natural Earth / USGS context,https://www.naturalearthdata.com/,Representative point on major reservoir.
