id,name,developer,status,status_group,category,facility_type,ai_classification,confidence,capacity_mw,operational_capacity_mw,planned_capacity_mw,capacity_label,landscape_weight,location,city,county,state,latitude,longitude,precision,powered_by,energy_source,utility,onsite_generation_mw,water_cooling_type,water_reported_mgd,water_notes,community_status,investment_usd,land_acres,jobs_construction,jobs_permanent,nearest_nuclear_name,nearest_nuclear_state,nearest_nuclear_distance_mi,nearest_nuclear_capacity_mw,nearest_nuclear_latitude,nearest_nuclear_longitude,nearest_power_name,nearest_power_state,nearest_power_distance_mi,nearest_power_capacity_mw,nearest_power_source,nearest_power_latitude,nearest_power_longitude,nearest_water_name,nearest_water_type,nearest_water_distance_mi,nearest_water_latitude,nearest_water_longitude,source,source_url,source_count,notes
amazon-northwest-louisiana,Amazon Data Center Campuses (Caddo and Bossier Parishes),Amazon Web Services,Under construction,Under construction,mixed_use,data_center,mixed_use,confirmed,,,,,8,"Shreveport, Caddo, LA",Shreveport,Caddo,LA,32.51,-93.75,exact,"Grid (SWEPCO / AEP), with Amazon funding 100% of new transmission infrastructure",grid,SWEPCO (Southwestern Electric Power Company),,,,,mixed,12000000000.0,,1500.0,540.0,Grand Gulf,MS,161.6,1440.0,32.0081,-91.0478,Arsenal Hill,LA,0.9,125.0,NG,32.5181,-93.7611,Red River - Shreveport,river,1.0,32.525,-93.75,Amazon selects Louisiana for $12B data center campuses,https://www.opportunitylouisiana.gov/news/amazon-selects-louisiana-for-12-billion-data-center-campuses-in-major-u-s-expansion,2,"Three campuses (Shreveport, near Blanchard in Caddo Parish, near Benton in Bossier Parish). STACK Infrastructure is developer partner. Each campus approximately 2-3 million sq ft. Sites on separate transmission lines for reliability. Coordinates use Shreveport as centroid; exact parcel locations not publicly mapped."
applied-digital-delta-forge-1-la,Applied Digital Delta Forge 1 AI Factory Campus,Applied Digital Corporation,Under construction,Under construction,confirmed,data_center,confirmed,confirmed,300.0,,300.0,300 MW planned,300.0,"Boyce, Rapides, LA",Boyce,Rapides,LA,31.4,-92.65,exact,Grid (Cleco),grid,Cleco,,closed_loop,,Applied Digital proprietary closed-loop cooling technology for high-density AI workloads.,,3600000000.0,300.0,1000.0,200.0,River Bend,LA,89.7,1035.9,30.757,-91.3327,Brame Energy Center,LA,3.9,1707.3,NG; PC; SUB,31.395,-92.71667,Red River - Shreveport,river,101.0,32.525,-93.75,Central Louisiana secures $3.6B Applied Digital AI Factory Campus,https://www.opportunitylouisiana.gov/news/central-louisiana-secures-3-6-billion-applied-digital-ai-factory-campus,2,"Anchor tenant is an undisclosed investment-grade U.S. hyperscaler under a $7.5B, 15-year lease. Two initial facilities totaling 300 MW across 300 acres (of 672-acre secured site). Initial operations targeted mid-2027. Applied Digital HQ in Dallas, TX."
stack-bossier-parish-la,Bossier Parish Campus (with Amazon),STACK Infrastructure,Under construction,Under construction,Data center,data_center,,confirmed,,,,,8,"Benton, Bossier, LA",Benton,Bossier,LA,32.69,-93.74,approximate,,,,,,,,,,,,,Grand Gulf,MS,164.0,1440.0,32.0081,-91.0478,J Lamar Stall Unit,LA,11.8,624.0,NG,32.51947,-93.76013,Red River - Shreveport,river,11.4,32.525,-93.75,"Campuses of newly-announced Amazon data center spanning Bossier, Caddo parishes confirmed",https://www.ksla.com/2026/02/24/campuses-newly-announced-amazon-data-center-spanning-bossier-caddo-parishes-confirmed/,1,"Companion site to the Blanchard/Caddo Parish campus; same ~$12,000,000,000 combined Amazon/STACK investment."
stack-caddo-parish-la,Caddo Parish Campus (with Amazon),STACK Infrastructure,Under construction,Under construction,Data center,data_center,,confirmed,,,,,8,"Blanchard, Caddo, LA",Blanchard,Caddo,LA,32.58,-93.9,approximate,,,,,,,,,,,,,Grand Gulf,MS,171.2,1440.0,32.0081,-91.0478,Arsenal Hill,LA,9.2,125.0,NG,32.5181,-93.7611,Red River - Shreveport,river,9.5,32.525,-93.75,"Campuses of newly-announced Amazon data center spanning Bossier, Caddo parishes confirmed",https://www.ksla.com/2026/02/24/campuses-newly-announced-amazon-data-center-spanning-bossier-caddo-parishes-confirmed/,2,"Part of a ~$12,000,000,000 combined Amazon/STACK investment spanning this Caddo Parish campus and the companion Bossier Parish campus (Benton, LA)."
hut8-river-bend-west-feliciana-la,Hut 8 River Bend AI Data Center Campus,Hut 8,Under construction,Under construction,confirmed,data_center,confirmed,confirmed,330.0,,330.0,330 MW planned,611.0,"St. Francisville, West Feliciana, LA",St. Francisville,West Feliciana,LA,30.79,-91.38,exact,Grid (Entergy Louisiana); campus adjacent to River Bend Nuclear Generating Station,grid,Entergy Louisiana,,,,,supported,10000000000.0,611.0,1000.0,75.0,River Bend,LA,3.6,1035.9,30.757,-91.3327,Pointe Coupee Power Station,LA,3.5,2340.9,NG,30.739,-91.377,Mississippi River - Baton Rouge,river,26.1,30.451,-91.187,Hut 8 selects Southeast Louisiana for $10B AI data center,https://www.opportunitylouisiana.gov/news/hut-8-selects-southeast-louisiana-as-site-of-10-billion-artificial-intelligence-data-center,2,"River Bend campus on 611 acres in West Feliciana Parish. Fluidstack (backed by Google) is primary tenant; Anthropic also signed a long-term lease. Phase I: two 450,000 sq ft facilities. Phase II (additional facilities) targeted by end of 2026. Coordinates approximate St. Francisville area."
meta-hyperion-richland-parish-la,Meta Hyperion,Meta,Under construction,Under construction,confirmed,data_center,confirmed,reported,2000.0,,2000.0,"2,000 MW planned",2250.0,"Delhi vicinity, Richland, LA",Delhi vicinity,Richland,LA,32.4442,-91.4906,exact,grid (Entergy Louisiana) + planned renewables,mixed,Entergy Louisiana,,,5.0,Sierra Club reporting states ~5 million gallons/day (~2 billion/year). Cooling type not disclosed in primary sources. Meta pledges 100% water restoration by 2030 via a 316-acre restoration project with Resource Environmental Solutions.,mixed,10000000000.0,2250.0,5000.0,500.0,Grand Gulf,MS,39.7,1440.0,32.0081,-91.0478,SR Delhi,LA,1.8,4.8,SUN,32.465321,-91.50959,Red River - Shreveport,river,131.8,32.525,-93.75,Meta to build AI data center in Louisiana — Reuters,https://www.reuters.com/technology/meta-build-ai-data-center-louisiana-2025-01-24/,7,
markley-boston-summer-street-ma,Markley Group Boston (One Summer Street / BOSIX),Markley Group,Operating,Operating,Data center,data_center,,confirmed,30.0,30.0,,30 MW operating,30.0,"Boston, Suffolk, MA",Boston,Suffolk,MA,42.3545151,-71.0595422,approximate,,,,,,,,,,,,,Seabrook,NH,39.1,1242.0,42.899167,-70.84889,Gillette SBMC,MA,0.8,14.2,DFO; NG,42.3436,-71.0559,Hudson River - New York,river,185.7,40.79,-73.98,"One Summer St, Boston",https://www.datacentermap.com/usa/massachusetts/boston/one-summer-st/,3,"Markley's original flagship facility (1 Summer St, atop former Macy's), 920,000 sq ft, largest commercial internet exchange point (BOSIX) in New England. Distinct facility from the separately-tracked Markley Lowell (One Lowell Data Center) site."
markley-lowell-ma,Markley Group One Lowell Data Center,Markley Group,Operating,Operating,mixed_use,data_center,mixed_use,confirmed,,,,,8,"Lowell, Middlesex, MA",Lowell,Middlesex,MA,42.6334,-71.3162,exact,Grid; 27 on-site diesel backup generators,grid,,,evaporative,0.12,"16 evaporative cooling towers, Merrimack River-sourced. Markley self-reports daily use of 60,000-120,000 gallons (0.06-0.12 MGD), peaking ~118,000 gpd in summer, corroborated by WBZ-TV water-bill records - far below hyperscale AI campuses.",litigation,,,,,Seabrook,NH,30.0,1242.0,42.899167,-70.84889,Boott Hydropower,MA,1.4,22.9,WAT,42.652454,-71.32238,Hudson River - New York,river,187.3,40.79,-73.98,Lowell Residents File Massachusetts' First Lawsuit Against a Data Center,https://www.boston.com/news/local-news/2026/05/07/lowell-residents-file-massachusetts-first-lawsuit-against-a-data-center/,4,"Coordinates are approximate city centroid (Sacred Heart/Back Central neighborhoods, Lowell). Facility serves 100+ customers including hospitals, universities, and police departments. Expansion includes land purchases by Markley near old power plant. Expansion plans stalled by moratorium. AI demand cited as driver of expansion since 2022. Delivered permanent-job counts are disputed - the abatement promised 100 jobs; the city and critics count ~26-30 full-time local workers while Markley cites ~100 total, with construction peaking ~120 (IBEW Local 103); recorded as unresolved (honest-zero). No confirmed total capital-investment figure is public ('hundreds of millions'). Massachusetts' 2024 sales-tax exemption is statutory eligibility, not a confirmed Markley award."
mghpcc-holyoke-ma,Massachusetts Green High Performance Computing Center,MGHPCC consortium (BU/Harvard/MIT/Northeastern/UMass/Yale),Operating,Operating,Data center,data_center,,confirmed,15.0,15.0,,15 MW operating,15.0,"Holyoke, Hampden, MA",Holyoke,Hampden,MA,42.20285,-72.60693,exact,,,,,,,,,,,,,Millstone,CT,65.7,2259.9,41.3107,-72.1677,Cabot Holyoke,MA,0.3,2.6,WAT,42.2,-72.61,Hudson River - New York,river,120.7,40.79,-73.98,Massachusetts Green High Performance Computing Center,https://en.wikipedia.org/wiki/Massachusetts_Green_High_Performance_Computing_Center,3,"90,300 sq ft, opened 2012, hydro-powered university research-computing consortium (100 Bigelow St). Explicitly exempted from Holyoke's 2026 data center ban. Houses the MIT Lincoln Laboratory Supercomputing Center (LLSC / TX-GAIA) — recorded as one facility, not two."
servistar-westfield-ma,Servistar Realties Westfield Data Center Campus,Servistar Realties,Proposed,Proposed,Data center,data_center,,reported,42.0,,42.0,42 MW planned,42.0,"Westfield, Hampden, MA",Westfield,Hampden,MA,42.157077,-72.741619,approximate,,,,,,,,,,,,,Millstone,CT,65.5,2259.9,41.3107,-72.1677,Twiss Street Solar,MA,0.7,1.5,SUN,42.148333,-72.74806,Hudson River - New York,river,114.2,40.79,-73.98,Westfield Data Center Campus,https://baxtel.com/data-center/westfield-data-center-campus,4,"Would-be first Massachusetts hyperscale data center: 10-building, 2.7M sq ft campus over a long buildout (191/199 Servistar Industrial Way). Tax exemption secured 2024. Status is early and thin — no confirmed groundbreaking; conflicting signals on whether the project is still active."
aws-calvert-cliffs-md,AWS Calvert County Data Center Campus,Amazon Web Services,Proposed,Proposed,mixed_use,data_center,mixed_use,reported,,,,,8,"Lusby, Calvert, MD",Lusby,Calvert,MD,38.437,-76.443,exact,,nuclear,Constellation Energy,,,,,mixed,,,,,Calvert Cliffs Nuclear Power Plant,MD,0.2,1850.4,38.4344,-76.4417,Calvert Cliffs Nuclear Power Plant,MD,0.2,1850.4,NUC,38.4344,-76.4417,Potomac River - Northern Virginia,river,62.7,38.969,-77.386,"AWS proposes data center campus next to nuclear plant in Calvert County, Maryland",https://www.datacenterdynamics.com/en/news/aws-proposes-data-center-campus-next-to-nuclear-plant-in-calvert-county-maryland/,3,Very early-stage: AWS states no formal proposal submitted as of DCD article date. Site plan application filed May 2026. Concept design shared at community open house shows up to 8 buildings south and west of Calvert Cliffs nuclear plant. Capacity not disclosed by AWS. Coordinates approximate for Calvert Cliffs area.
aligned-quantum-frederick-md,Aligned Data Centers IAD-04 Frederick,Aligned Data Centers,Under construction,Under construction,mixed_use,data_center,mixed_use,confirmed,72.0,,72.0,72 MW planned,75.0,"Frederick, MD",,Frederick,MD,39.263,-77.387,exact,,grid,Potomac Edison / FirstEnergy,,hybrid,,"Aligned describes ""Delta³ air cooling arrays"" plus ""DeltaFlow liquid cooling"" within a ""closed-loop chilled water system"" and markets ""near-zero water consumption""; no facility MGD disclosed. Cooling spec is campus-level and may not be IAD-04-specific.",opposed,,75.0,,,Peach Bottom,PA,68.8,2876.4,39.758936,-76.26874,Montgomery County Correctional Facility,MD,5.3,1.4,SUN,39.237945,-77.29322,Potomac River - Northern Virginia,river,20.3,38.969,-77.386,Aligned breaks ground on 72MW Maryland data center in Quantum Frederick Park,https://www.datacenterdynamics.com/en/news/aligned-breaks-ground-on-72mw-maryland-data-center-in-quantum-frederick-park/,5,"Part of TPG Real Estate / Catellus Development's 2,100-acre Quantum Frederick campus on former Alcoa Eastalco aluminum plant (closed 2010, demolished 2017) in Frederick County MD. Coordinates are approximate for campus area near Buckeystown/Adamstown."
lerner-brightseat-tech-park-md,Brightseat Tech Park,Lerner Enterprises / The Tower Companies (Brightseat Associates LLC),Permitted,Permitted,mixed_use,data_center,mixed_use,confirmed,820.0,,820.0,820 MW planned,87.0,"Landover, Prince George's, MD",Landover,Prince George's,MD,38.931,-76.868,exact,,grid,Pepco (Exelon),,,,,opposed,5000000000.0,87.0,,,Calvert Cliffs Nuclear Power Plant,MD,41.3,1850.4,38.4344,-76.4417,FedEx Field Solar Facility,MD,1.6,2.0,SUN,38.907778,-76.86444,Potomac River - Northern Virginia,river,28.0,38.969,-77.386,Lerner's Maryland data center campus could total 820MW,https://www.datacenterdynamics.com/en/news/lerners-maryland-data-center-campus-could-total-820mw/,2,"2101 Brightseat Road, Landover MD. Project has final plan approvals but is politically frozen pending task force report. Five buildings on 87 acres of former mall site. As a permitted-but-frozen project, no facility-specific water design, subsidy award, or committed job figures have been disclosed; job figures circulating in press are Maryland Tech Council sector benchmarks, not Brightseat commitments."
rowan-digital-frederick-md,Rowan Digital Infrastructure Frederick Campus (Bauxite I),Rowan Digital Infrastructure,Under construction,Under construction,mixed_use,data_center,mixed_use,confirmed,300.0,,300.0,300 MW planned,151.0,"Frederick, MD",,Frederick,MD,39.265,-77.394,exact,,grid,Potomac Edison (FirstEnergy),,evaporative,0.44,"440,000 gallons/day cooling water allocated to Rowan's 156-acre parcel per Frederick County records",opposed,,151.0,,,Peach Bottom,PA,69.0,2876.4,39.758936,-76.26874,Dickerson Power,MD,5.4,326.0,NG,39.2097,-77.4644,Potomac River - Northern Virginia,river,20.5,38.969,-77.386,Rowan secures $1.2bn for Maryland data center campus build-out,https://www.datacenterdynamics.com/en/news/rowan-secures-12bn-for-maryland-data-center-campus-build-out/,3,"Rowan (Quinbrook Infrastructure Partners + Birch Infrastructure JV) serves as AWS hyperscale host at Quantum Frederick. Three campuses planned on-site total; Bauxite I is Phase 1 at 300MW. 777,150 sq ft total campus footprint. Coordinates approximate for same Quantum Frederick campus area as Aligned record."
terawulf-morgantown-charles-county-md,TeraWulf Morgantown Generating Station AI Campus,TeraWulf,Proposed,Proposed,likely,data_center,likely,confirmed,1000.0,,1000.0,"1,000 MW planned",250.0,"Charles, MD",,Charles,MD,38.362,-77.129,exact,,mixed,,500.0,,,,contested,,250.0,,,Calvert Cliffs Nuclear Power Plant,MD,37.6,1850.4,38.4344,-76.4417,Morgantown Generating Plant,MD,8.3,260.0,DFO,38.3592,-76.9767,Potomac River - Northern Virginia,river,44.2,38.969,-77.386,TeraWulf buys Maryland coal plant to fuel AI data centers,https://technical.ly/entrepreneurship/terawulf-maryland-power-plant-acquistion/,4,"Morgantown Generating Station is on the Potomac River near the Governor Harry W. Nice Memorial Bridge, Charles County MD. Acquisition funding and TeraWulf financial stability questioned by Maryland Office of People's Counsel (net losses $660M+ in 2025, 90% revenue from Bitcoin mining). Coordinates approximate. TeraWulf sought about $100M in Maryland state funds toward the Morgantown acquisition; the purchase price is withheld from FERC as confidential (FOIA Exemption 4), which Public Citizen is petitioning to disclose. No cooling design, water-withdrawal figure, confirmed subsidy, or job count has been publicly disclosed for the proposed AI campus."
liquidcool-loring-afb-me,Loring LiquidCool Data Center (Green 4 Maine Campus),LiquidCool Solutions / Green 4 Maine,Proposed,Proposed,confirmed,data_center,confirmed,confirmed,50.0,,50.0,50 MW planned,50.0,"Limestone, Aroostook, ME",Limestone,Aroostook,ME,46.9502,-67.8849,exact,Canadian hydropower (New Brunswick); immersion cooling (no water consumed),hydro,,,closed_loop,,LiquidCool immersion cooling uses polyalphaolefin oil (non-conductive); no water consumed for cooling per developer claim.,,,,,,Seabrook,NH,315.2,1242.0,42.899167,-70.84889,Limestone - (ME),ME,0.7,4.0,SUN,46.943316,-67.89607,Hudson River - New York,river,522.5,40.79,-73.98,Maine's 1st AI Data Center Planned for Aroostook County,https://www.bangordailynews.com/2025/10/14/aroostook/ai-data-center-loring-air-force-base/,2,"115,000 sq ft leased within Green 4 Maine's 450-acre innovation hub on former USAF base. LiquidCool Solutions is a Minnesota-based technology company. First phase starts at 5-6MW; 50MW total available at base. Project marketed as cross-border US/Canada AI hub."
sentinel-jay-me,"Sentinel Data Centers Androscoggin Mill Campus, Jay",Sentinel Data Centers / JGT2 Redevelopment,Cancelled,Cancelled,likely,data_center,likely,reported,82.0,,82.0,82 MW planned,82.0,"Jay, Franklin, ME",Jay,Franklin,ME,44.5024,-70.2175,exact,"On-site solar (up to 150MW), Central Maine Power (up to 25MW backup), on-site hydro approved",solar,Central Maine Power,,closed_loop,0.3,"Closed-loop system; ~300,000 gallons/day from Androscoggin River to replace evaporation, compared to 35-40 million gallons/day used by former paper mill.",supported,550000000.0,,900.0,137.0,Seabrook,NH,115.2,1242.0,42.899167,-70.84889,International Paper Jay Hydro,ME,0.2,3.1,WAT,44.503704,-70.22097,Hudson River - New York,river,319.9,40.79,-73.98,"Jay Approves Town Meeting Warrant, Backs Data Center Plan",https://themainemonitor.org/jay-backs-data-center-plan/,5,"Sentinel Data Centers LLC is headquartered in New York City. JGT2 Redevelopment purchased the former Pixelle Specialty Solutions mill in December 2023. ~425,000 sq ft of obsolete mill buildings demolished; paper machines shipped to Pakistan. In June 2026 Sentinel notified JGT2 of intent not to move forward; no permits were issued and no groundbreaking was held. JGT2 is seeking other operators for the site."
wiscasset-proposed-me,Wiscasset Data Center (Old Ferry Road Site),Unnamed developer (NDA with town),Proposed,Proposed,likely,data_center,likely,reported,,,,,200.0,"Wiscasset, Lincoln, ME",Wiscasset,Lincoln,ME,44.0015,-69.6553,exact,Not disclosed,other,,,,,,opposed,,200.0,,,Seabrook,NH,96.9,1242.0,42.899167,-70.84889,Cenergy - Wiscasset (CSG),ME,3.5,5.0,SUN,43.964548,-69.70476,Hudson River - New York,river,312.9,40.79,-73.98,"Wiscasset Loses ARPA Funding After Data Center Proposal, Confusion",https://www.centralmaine.com/2025/11/03/wiscasset-loses-arpa-funding-after-data-center-proposal-confusion/,2,"Coordinates are approximate, based on Wiscasset area near former Maine Yankee site. Developer identity remains undisclosed per NDA. As of March 2026 Lincoln County reallocated ARPA funds to Waldoboro and Newcastle. Land remains undeveloped. investmentUsd removed: the $5B figure was cited in press at announcement but is not present in the Central Maine article (the only resolvable primary source) and could not be confirmed from any URL that returned content; Maine Morning Star (secondary source) returned HTTP 403. Operator field lists 'Unnamed developer (NDA with town)' as that is the factual status."
project-cannoli-van-buren-township-wayne-county-mi,Project Cannoli,Google (via Panattoni Development Co.),Proposed,Proposed,likely,data_center,likely,confirmed,,,,,8,"Van Buren Township, Wayne, MI",Van Buren Township,Wayne,MI,42.23,-83.44,exact,,mixed,,,unknown,,Reported to potentially consume up to 3.6 million gallons of water daily.,contested,,,,,Fermi,MI,20.7,1281.0,41.9631,-83.2581,French Landing Dam,MI,1.1,1.6,WAT,42.214264,-83.44069,Lake Erie - Cleveland,lake,103.1,41.499,-81.694,Van Buren Township OKs Google data center substation,https://planetdetroit.org/2026/06/whitmer-data-center-backlash-2026-election/,1,Google confirmed evaluating the site. Coordinates are approximate.
verrus-project-flex-lyon-township-oakland-county-mi,Project Flex,Verrus (Sidewalk Infrastructure Partners),Proposed,Proposed,likely,data_center,likely,reported,,,,,180.0,"Lyon Township, Oakland, MI",Lyon Township,Oakland,MI,42.47,-83.53,exact,,,,,,,,contested,,180.0,,,Fermi,MI,37.7,1281.0,41.9631,-83.2581,GRS Arbor Hills,MI,5.4,30.3,LFG,42.395335,-83.558,Lake Huron - Saginaw Bay,lake,93.3,43.8,-83.85,Anthropic reported as intended end user of Project Flex data center,https://www.crainsdetroit.com/technology/cdb-anthropic-projectflex-datacenter-20260414/,1,"6 buildings, 1.8M sq ft. Anthropic (maker of Claude) reported as the intended end-user tenant, not confirmed directly by Anthropic. Conditional site plan approval since Sept 2025. Coordinates are approximate."
stargate-saline-township-mi,Stargate The Barn Campus,OpenAI / Oracle / Related Digital,Under construction,Under construction,confirmed,data_center,confirmed,reported,1400.0,,1400.0,"1,400 MW planned",250.0,"Saline Township, Washtenaw, MI",Saline Township,Washtenaw,MI,42.174,-83.8063,exact,grid (100% utility costs paid by Oracle),grid,DTE Energy,,closed_loop,,"Closed-loop cooling system that, per Related Digital, limits daily water use to levels comparable to an office building.",litigation,16000000000.0,250.0,2500.0,450.0,Fermi,MI,31.7,1281.0,41.9631,-83.2581,Voyager Energy Storage,MI,2.0,100.0,MWH,42.153167,-83.8333,Lake Huron - Saginaw Bay,lake,112.4,43.8,-83.85,"Oracle and OpenAI start construction on Stargate campus in Saline Township, Michigan — Data Center Dynamics",https://www.datacenterdynamics.com/en/news/oracle-and-openai-start-construction-on-stargate-data-center-campus-in-saline-township-michigan/,5,
switch-pyramid-campus-grand-rapids-mi,Switch Pyramid Campus,Switch,Under construction,Under construction,mixed_use,data_center,mixed_use,confirmed,225.0,225.0,320.0,225 MW operating / 320 MW planned,138.0,"Gaines Township, Kent, MI",Gaines Township,Kent,MI,42.823,-85.64,exact,Grid,wind,Consumers Energy,,,,No facility-specific cooling type or water volume is disclosed; the City of Grand Rapids provides water and sewer service.,supported,,138.0,,148.0,Palisades,MI,48.7,811.8,42.323,-86.3146,Bryon Center,MI,3.3,4.8,LFG,42.7814,-85.6728,Lake Huron - Saginaw Bay,lake,112.5,43.8,-83.85,"Switch plans second expansion of pyramid data center campus in Grand Rapids, Michigan",https://www.datacenterdynamics.com/en/news/switch-plans-second-expansion-of-pyramid-data-center-campus-in-grand-rapids-michigan/,6,"Steelcase Pyramid campus, Gaines Township, Kent County MI (south of Grand Rapids; NOT the city of Wyoming, which is a separate municipality ~5 km north). Total campus target: 1.8M sq ft, 320 MW, ~$5B investment across all phases. Phase 1 (225,000 sq ft white space) and Phase 2 (312,000 sq ft) operational; Phase 3 in planning/early construction as of 2025. Michigan's largest data center by capacity. Coordinates are approximate Pyramid campus location on East Paris Ave, Gaines Township."
thor-equities-augusta-township-mi,Thor Equities Augusta Township Data Center (Form8tion),Thor Equities,Proposed,Proposed,likely,data_center,likely,reported,,,,,810.0,"Augusta Township, Washtenaw, MI",Augusta Township,Washtenaw,MI,42.163,-83.72,exact,,,,,,,,contested,1000000000.0,810.0,,,Fermi,MI,27.4,1281.0,41.9631,-83.2581,White Tail Solar,MI,4.3,140.0,SUN,42.125582,-83.65358,Lake Huron - Saginaw Bay,lake,113.3,43.8,-83.85,Local officials recommend denial of Thor Equities data center in Michigan,https://www.datacenterdynamics.com/en/news/local-officials-recommend-denial-of-thor-equities-data-center-in-michigan/,3,"Site north of Milan-Oakville Road, east of Hitchingham Road, Augusta Township, Washtenaw County MI (between Ann Arbor and Monroe). No end user announced; planners cited Google and Microsoft as typical users of this facility type. Form8tion is Thor's digital infrastructure arm (founded March 2023). Capacity not disclosed; at least five large buildings planned. Voter referendum outcome will determine project viability. Coordinates are approximate Augusta Township centroid."
amazon-becker-mn,Amazon Becker Data Center (Suspended),Amazon Web Services,Cancelled,Cancelled,likely,data_center,likely,confirmed,,,,,348.0,"Becker, Sherburne County, MN",Becker,Sherburne County,MN,45.397,-93.876,exact,,,,,,,,mixed,,348.0,,,Monticello Nuclear Facility,MN,4.6,685.0,45.3338,-93.8493,Sherburne County,MN,1.4,1704.0,SUB,45.3808,-93.8931,Lake Superior - Duluth,lake,128.3,46.786,-92.1,Amazon suspends Minnesota data center as lawmakers plan to reduce Big Tech tax breaks,https://www.startribune.com/amazon-suspends-minnesota-data-center-as-lawmakers-plan-to-reduce-big-tech-tax-breaks/601359665,2,"Amazon has not officially sold the 348-acre parcel and has not ruled out revisiting the project; 'cancelled' reflects indefinite suspension with no restart timeline. Near Xcel Energy's Sherburne County (Sherco) generating station, slated for retirement by 2030. Second major tech retreat from Becker after Google abandoned a $600M project in 2022. Star Tribune primary source was rate-limited (HTTP 429) at time of verification; story confirmed by Data Center Dynamics and multiple other outlets."
google-skyway-pine-island-mn,Google Project Skyway (Pine Island),Google,Proposed,Proposed,confirmed,data_center,confirmed,confirmed,,,,,8,"Pine Island, Goodhue, MN",Pine Island,Goodhue,MN,44.2019,-92.6496,exact,Xcel Energy,grid,Xcel Energy,,,,,litigation,,,,,Prairie Island,MN,29.0,1186.2,44.622,-92.6333,Pine Island Solar,MN,0.8,4.0,SUN,44.206624,-92.66365,Lake Superior - Duluth,lake,180.5,46.786,-92.1,Xcel Energy to power new Google data center in Minnesota,https://newsroom.xcelenergy.com/news/xcel-energy-to-power-new-google-data-center-in-minnesota,2,"Google's first Minnesota campus, Pine Island (Goodhue County), powered by Xcel Energy; ~250,000 sq ft initial building for AI applications. Electric Service Agreement pending MPUC approval as of Feb 2026 → proposed. The associated 1,900 MW (1,400 MW wind + 200 MW solar + 300 MW storage) is a new clean-energy build-out, NOT the data center's IT load — DC capacity not disclosed (omitted). Faces a local legal challenge. Coordinates are the Pine Island area centroid."
meta-rosemount-mn,Meta Rosemount Data Center,Meta,Under construction,Under construction,confirmed,data_center,confirmed,confirmed,75.0,,75.0,75 MW planned,280.0,"Rosemount, Dakota County, MN",Rosemount,Dakota County,MN,44.74,-93.115,exact,Xcel Energy (100% renewable),grid,Xcel Energy,,,,,supported,800000000.0,280.0,1000.0,100.0,Prairie Island,MN,25.0,1186.2,44.622,-92.6333,Eolos Wind Energy Research Field Station,MN,3.4,2.5,WND,44.728333,-93.04806,Lake Superior - Duluth,lake,149.6,46.786,-92.1,"Hello, Rosemount! — Meta Data Centers blog",https://datacenters.atmeta.com/2024/03/hello-rosemount/,5,"Site is 280 acres of UMore Park (former WWII smokeless powder facility, then Univ. of Minnesota agricultural research land) in Rosemount. Meta's 19th US data center. Coordinates approximate for northern UMore Park area. Additional parcels purchased Feb 2025 via Jimnist LLC for potential expansion; no current build plan on those parcels."
geronimo-nobles-county-powered-data-park-mn,Nobles County Powered Data Park,Geronimo Power (Brookfield Asset Management subsidiary),Proposed,Proposed,likely,data_center,likely,reported,400.0,,400.0,400 MW planned,400.0,"Worthington, Nobles, MN",Worthington,Nobles,MN,43.62,-95.6,exact,,,,,,,,opposed,,,,,Monticello Nuclear Facility,MN,146.5,685.0,45.3338,-93.8493,Worthington,MN,1.0,19.6,DFO; WND,43.63349,-95.60923,Missouri River - Omaha,river,164.1,41.258,-95.938,Minnesota's long-predicted data center boom is on shaky ground,https://minnesotareformer.com/2026/04/27/minnesotas-long-predicted-data-center-boom-is-on-shaky-ground/,2,"Coordinates are approximate (near Worthington, MN)."
